API,Well_Number,Symbol_Desc,Symbol,Reliab,Location_Source,Lat27,Long27,Lat83,Long83,Wellbore_Status,Last_Permit_Issued,Last_Permit_Operator_Number,Last_Permit_Operator,Last_Permit_Lease_Name,Total_Depth,Surface_Location,Abstract,Survey,Block,Section,Distance1,Direction1,Distance2,Direction2,Proration_Schedule,District,LeaseID,Operator_Number,Operator,Lease_Name,Field,Well_No,Well_Type,On_Schedule,plugDate,plugDepth,plugOperator,plugLeasename
43931428,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.74908626,-97.29076249,32.7492169,-97.29105566,OPEN,609956,197624,DALE OPERATING COMPANY,BAHAN,6600,Land,1659,WALLER B E,,,2046,S,50,E,GAS,09,223790,842986,TEP BARNETT USA LLC,BAHAN,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931428,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.75618485,-97.29182984,32.7563152,-97.29212303,OPEN,609956,197624,DALE OPERATING COMPANY,BAHAN,6600,Land,1659,WALLER B E,,,2046,S,50,E,GAS,09,223790,842986,TEP BARNETT USA LLC,BAHAN,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931474,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78187271,-97.31772585,32.78200229,-97.31802001,OPEN,612361,197624,DALE OPERATING COMPANY,MERCADO,7110,Land,1417,SMITH S K,,,1195,W,2438,S,GAS,09,239539,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931474,,Horizontal Drainhole,86,,Operator reported location - Distances and Plat,32.78665668,-97.32155114,32.78678615,-97.32184535,OPEN,612361,197624,DALE OPERATING COMPANY,MERCADO,7110,Land,1417,SMITH S K,,,1195,W,2438,S,GAS,09,239539,842986,TEP BARNETT USA LLC,MERCADO,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931475,1H,Gas Well,5,40,Operator reported location - Distances and Plat,32.78132018,-97.33139988,32.78144973,-97.33169441,OPEN,612362,197624,DALE OPERATING COMPANY,HUDSON,7071,Land,945,LITTLE W H,,,136,W,1558,N,GAS,09,245769,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931475,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.77645361,-97.32480297,32.77658329,-97.3250973,OPEN,612362,197624,DALE OPERATING COMPANY,HUDSON,7071,Land,945,LITTLE W H,,,136,W,1558,N,GAS,09,245769,842986,TEP BARNETT USA LLC,HUDSON,NEWARK EAST (BARNETT SHALE),   1H ,PRODUCING,YES,,,,
43931479,1H,Permitted Location,2,55,Coordinates - Operator reported,32.78892496,-97.33282504,32.78905434,-97.33311958,LOCATION,612407,197624,DALE OPERATING COMPANY,WHITE,0,Land,954,LITTLE E,,,2600,N,1802,E,,,,,,,,,,,,,,
43931479,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.78801108,-97.33133338,32.78814047,-97.33162793,LOCATION,612407,197624,DALE OPERATING COMPANY,WHITE,0,Land,954,LITTLE E,,,2600,N,1802,E,,,,,,,,,,,,,,
43931491,2H,Canceled / Abandoned Location,9,55,Coordinates - Operator reported,32.78135572,-97.31314775,32.78148533,-97.31344168,LOCATION,612775,197624,DALE OPERATING COMPANY,MERCADO,0,Land,1417,SMITH S K,,,2462,S,1210,W,,,,,,,,,,,,,,
43931491,,Horizontal Drainhole,86,,Coordinates - Operator reported,32.78721303,-97.32151355,32.78734244,-97.32180785,LOCATION,612775,197624,DALE OPERATING COMPANY,MERCADO,0,Land,1417,SMITH S K,,,2462,S,1210,W,,,,,,,,,,,,,,
